epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
87,6587.75,0.15195,0.8387,0.96047,0.6743,0.82265,0.78645,0.70868,0.48074,0.72421,0.69293,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,6662.9,0.15085,0.83314,0.95691,0.67225,0.81456,0.78627,0.70842,0.48248,0.72322,0.69517,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,6737.82,0.15077,0.83569,0.95961,0.67836,0.8171,0.7873,0.70992,0.48252,0.72603,0.69395,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,6813.05,0.14763,0.8244,0.95857,0.6783,0.82317,0.78767,0.70982,0.48277,0.72547,0.69339,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,6931.42,0.07307,0.51549,0.95134,0.6772,0.8285,0.78606,0.7085,0.47801,0.72307,0.68743,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,7005.4,0.06726,0.47323,0.94788,0.68114,0.81376,0.78496,0.70722,0.47572,0.72482,0.68555,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,7079.15,0.06249,0.46287,0.94949,0.67969,0.80845,0.78439,0.70686,0.47064,0.72357,0.67776,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,7152.77,0.06188,0.45664,0.94389,0.68491,0.80709,0.78294,0.70535,0.4696,0.72466,0.67615,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,7225.67,0.06002,0.44016,0.94619,0.68294,0.80392,0.78441,0.7067,0.4682,0.72735,0.6739,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,7298.69,0.05775,0.43149,0.94761,0.68636,0.79875,0.78276,0.7053,0.4669,0.73022,0.67159,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,7372.43,0.05751,0.41607,0.94197,0.68005,0.806,0.78228,0.70463,0.46715,0.73302,0.67158,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,7445.56,0.05627,0.41142,0.94408,0.67936,0.81009,0.78133,0.7038,0.46765,0.73591,0.6725,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,7519.07,0.05646,0.40555,0.94125,0.68119,0.80743,0.78099,0.70354,0.46736,0.73815,0.67254,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,7592.19,0.05529,0.39866,0.93855,0.68173,0.8125,0.78144,0.7038,0.46675,0.73911,0.67247,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
